State,Year,Quarter,User_brand,User_count,User_percentage
Andaman & Nicobar,2019,4,Others,2183,8.409090909090908
Andaman & Nicobar,2020,1,Xiaomi,6803,23.981246474901297
Andaman & Nicobar,2020,1,Vivo,5880,20.727580372250422
Andaman & Nicobar,2020,1,Samsung,5335,18.80640157924422
Andaman & Nicobar,2020,1,Oppo,2557,9.013677382966723
Andaman & Nicobar,2020,1,Realme,1511,5.3264241398759165
Andaman & Nicobar,2020,1,OnePlus,1184,4.173716864072194
Andaman & Nicobar,2020,1,Huawei,891,3.140862944162436
Andaman & Nicobar,2020,1,Apple,735,2.5909475465313028
Andaman & Nicobar,2020,1,Motorola,715,2.5204455724760293
Andaman & Nicobar,2020,1,Lenovo,500,1.7625493513818387
Andaman & Nicobar,2020,1,Others,2257,7.95614777213762
Andaman & Nicobar,2020,2,Xiaomi,7805,23.861204524610212
Andaman & Nicobar,2020,2,Vivo,7122,21.773158055640476
Andaman & Nicobar,2020,2,Samsung,6030,18.43472944053806
Andaman & Nicobar,2020,2,Oppo,2976,9.098135126872515
Andaman & Nicobar,2020,2,Realme,1761,5.3836747172118615
Andaman & Nicobar,2020,2,OnePlus,1271,3.8856618771018034
Andaman & Nicobar,2020,2,Huawei,1005,3.072454906756344
Andaman & Nicobar,2020,2,Apple,792,2.421277896667686
Andaman & Nicobar,2020,2,Motorola,779,2.3815346988688475
Andaman & Nicobar,2020,2,Lenovo,552,1.687557321919902
Andaman & Nicobar,2020,2,Others,2617,8.00061143381229
Andaman & Nicobar,2020,3,Xiaomi,9794,23.69420587879521
Andaman & Nicobar,2020,3,Vivo,9556,23.118422644248216
Andaman & Nicobar,2020,3,Samsung,7572,18.318616184831257
Andaman & Nicobar,2020,3,Oppo,3730,9.023829684286925
Andaman & Nicobar,2020,3,Realme,2285,5.528002903108745
Andaman & Nicobar,2020,3,OnePlus,1440,3.4837304947381154
Andaman & Nicobar,2020,3,Huawei,1213,2.9345590903592598
Andaman & Nicobar,2020,3,Motorola,907,2.1942663602274104
Andaman & Nicobar,2020,3,Apple,870,2.1047538405709445
Andaman & Nicobar,2020,3,Lenovo,606,1.4660699165356235
Andaman & Nicobar,2020,3,Others,3362,8.133543002298294
Andaman & Nicobar,2020,4,Xiaomi,12398,23.6621116115734
Andaman & Nicobar,2020,4,Vivo,12275,23.427360867241774
Andaman & Nicobar,2020,4,Samsung,9938,18.967096724940834
Andaman & Nicobar,2020,4,Oppo,4723,9.01404687380716
Andaman & Nicobar,2020,4,Realme,2996,5.717993739980151
Andaman & Nicobar,2020,4,OnePlus,1638,3.1261928391480267
Andaman & Nicobar,2020,4,Huawei,1472,2.8093747614321702
Andaman & Nicobar,2020,4,Motorola,1032,1.9696160012214674
Andaman & Nicobar,2020,4,Apple,973,1.8570119856477594
Andaman & Nicobar,2020,4,Lenovo,708,1.351248186884495
Andaman & Nicobar,2020,4,Others,4243,8.097946408122759
Andaman & Nicobar,2021,1,Vivo,13812,23.913570414488035
Andaman & Nicobar,2021,1,Xiaomi,13714,23.74389694934035
Andaman & Nicobar,2021,1,Samsung,10861,18.8043214792756
Andaman & Nicobar,2021,1,Oppo,5158,8.930364624813878
Andaman & Nicobar,2021,1,Realme,3419,5.919526299387098
Andaman & Nicobar,2021,1,OnePlus,1773,3.069704629661692
Andaman & Nicobar,2021,1,Huawei,1575,2.7268949755877974
Andaman & Nicobar,2021,1,Motorola,1062,1.8387063263963432
Andaman & Nicobar,2021,1,Apple,1056,1.8283181550607708
Andaman & Nicobar,2021,1,Tecno,796,1.3781640638526265
Andaman & Nicobar,2021,1,Others,4532,7.846532082135808
Andaman & Nicobar,2021,2,Vivo,15056,24.246718737418473
Andaman & Nicobar,2021,2,Xiaomi,14788,23.81512199049843
Andaman & Nicobar,2021,2,Samsung,11476,18.481359207665673
Andaman & Nicobar,2021,2,Oppo,5456,8.78653675819309
Andaman & Nicobar,2021,2,Realme,4034,6.496497302520332
Andaman & Nicobar,2021,2,OnePlus,1981,3.1902729688380704
Andaman & Nicobar,2021,2,Huawei,1559,2.5106691360012885
Andaman & Nicobar,2021,2,Apple,1153,1.8568322731298814
Andaman & Nicobar,2021,2,Motorola,1054,1.69739914646912
Andaman & Nicobar,2021,2,Tecno,974,1.5685642966422417
Andaman & Nicobar,2021,2,Others,4564,7.3500281826234
Andaman & Nicobar,2021,3,Vivo,16411,24.500612104744558
Andaman & Nicobar,2021,3,Xiaomi,15938,23.79445224090054
Andaman & Nicobar,2021,3,Samsung,12028,17.957063091576842
Andaman & Nicobar,2021,3,Oppo,5853,8.73816846316921
Andaman & Nicobar,2021,3,Realme,4808,7.17804783374638
Andaman & Nicobar,2021,3,OnePlus,2306,3.442715953539757
Andaman & Nicobar,2021,3,Huawei,1567,2.3394344749335643
Andaman & Nicobar,2021,3,Apple,1283,1.915439968946881
Andaman & Nicobar,2021,3,Tecno,1178,1.7586814368039174
Andaman & Nicobar,2021,3,Motorola,1017,1.5183183541847063
Andaman & Nicobar,2021,3,Others,4593,6.857066077453644
Andaman & Nicobar,2021,4,Vivo,17597,24.515185288381165
Andaman & Nicobar,2021,4,Xiaomi,16968,23.63889662858735
Andaman & Nicobar,2021,4,Samsung,12574,17.517414321538034
Andaman & Nicobar,2021,4,Oppo,6127,8.535803845082196
Andaman & Nicobar,2021,4,Realme,5830,8.122039565338534
Andaman & Nicobar,2021,4,OnePlus,2691,3.748955140707718
Andaman & Nicobar,2021,4,Apple,1490,2.0757871273335193
Andaman & Nicobar,2021,4,Huawei,1459,2.0325996099191976
Andaman & Nicobar,2021,4,Tecno,1417,1.9740874895514071
Andaman & Nicobar,2021,4,Motorola,1055,1.4697687378099749
Andaman & Nicobar,2021,4,Others,4572,6.369462245750905
Andaman & Nicobar,2022,1,Vivo,18688,24.496644295302016
Andaman & Nicobar,2022,1,Xiaomi,17957,23.53843330536913
Andaman & Nicobar,2022,1,Samsung,12955,16.981700922818792
Andaman & Nicobar,2022,1,Realme,6769,8.872955117449663
Andaman & Nicobar,2022,1,Oppo,6461,8.469221895973154
Andaman & Nicobar,2022,1,OnePlus,3005,3.9390205536912757
Andaman & Nicobar,2022,1,Tecno,1770,2.3201552013422817
Andaman & Nicobar,2022,1,Apple,1634,2.141883389261745
Andaman & Nicobar,2022,1,Huawei,1441,1.8888947147651005
Andaman & Nicobar,2022,1,Motorola,1050,1.376363255033557
Andaman & Nicobar,2022,1,Others,4558,5.974727348993288
Andhra Pradesh,2018,1,Xiaomi,836581,25.073985823255256
Andhra Pradesh,2018,1,Samsung,683687,20.491450493788307
Andhra Pradesh,2018,1,Vivo,425959,12.76683301113459
Andhra Pradesh,2018,1,Oppo,304487,9.126077117894768
Andhra Pradesh,2018,1,Realme,236646,7.092748280357865
Andhra Pradesh,2018,1,Motorola,129739,3.888534220503829
Andhra Pradesh,2018,1,OnePlus,129421,3.8790031320715133
Andhra Pradesh,2018,1,Apple,123274,3.694765394356277
Andhra Pradesh,2018,1,Lenovo,84138,2.5217821337049857
Andhra Pradesh,2018,1,Huawei,76654,2.29747186380734
Andhra Pradesh,2018,1,Others,305864,9.167348529125267
Andhra Pradesh,2018,2,Xiaomi,1113800,25.299031922481113
Andhra Pradesh,2018,2,Samsung,903290,20.51747400364335
Andhra Pradesh,2018,2,Vivo,586965,13.332417195528038
Andhra Pradesh,2018,2,Oppo,410549,9.32527586347881
Andhra Pradesh,2018,2,Realme,305964,6.949715391569413
Andhra Pradesh,2018,2,Motorola,169847,3.857932011974905
Andhra Pradesh,2018,2,OnePlus,155418,3.5301893906699315
Andhra Pradesh,2018,2,Apple,151847,3.449077123660432
Andhra Pradesh,2018,2,Lenovo,107441,2.4404321141886274
Andhra Pradesh,2018,2,Huawei,102929,2.3379458221844662
Andhra Pradesh,2018,2,Others,394490,8.960509160620914
Andhra Pradesh,2018,3,Xiaomi,1385112,25.519707820209124
Andhra Pradesh,2018,3,Samsung,1103186,20.32542089834268
Andhra Pradesh,2018,3,Vivo,761793,14.035496609285438
