State,Year,Quarter,District,Registered_user,App_opens
Andhra Pradesh,2018,3,anantapur,405855,0
Andhra Pradesh,2018,3,kurnool,394311,0
Andhra Pradesh,2018,3,guntur,518931,0
Andhra Pradesh,2018,3,krishna,537086,0
Andhra Pradesh,2018,3,spsr nellore,322446,0
Andhra Pradesh,2018,3,vizianagaram,203655,0
Andhra Pradesh,2018,3,ysr,308391,0
Andhra Pradesh,2018,3,west godavari,349782,0
Andhra Pradesh,2018,3,chittoor,515727,0
Andhra Pradesh,2018,4,east godavari,694455,0
Andhra Pradesh,2018,4,srikakulam,284874,0
Andhra Pradesh,2018,4,visakhapatnam,978288,0
Andhra Pradesh,2018,4,prakasam,394962,0
Andhra Pradesh,2018,4,anantapur,510892,0
Andhra Pradesh,2018,4,kurnool,498582,0
Andhra Pradesh,2018,4,guntur,659552,0
Andhra Pradesh,2018,4,krishna,682479,0
Andhra Pradesh,2018,4,spsr nellore,407495,0
Andhra Pradesh,2018,4,vizianagaram,257824,0
Andhra Pradesh,2018,4,ysr,387058,0
Andhra Pradesh,2018,4,west godavari,435668,0
Andhra Pradesh,2018,4,chittoor,665280,0
Andhra Pradesh,2019,1,east godavari,839277,0
Andhra Pradesh,2019,1,srikakulam,345775,0
Andhra Pradesh,2019,1,visakhapatnam,1174517,0
Andhra Pradesh,2019,1,prakasam,474260,0
Andhra Pradesh,2019,1,anantapur,612162,0
Andhra Pradesh,2019,1,kurnool,599422,0
Andhra Pradesh,2019,1,guntur,802394,0
Andhra Pradesh,2019,1,krishna,833694,0
Andhra Pradesh,2019,1,spsr nellore,491908,0
Andhra Pradesh,2019,1,vizianagaram,313334,0
Andhra Pradesh,2019,1,ysr,460590,0
Andhra Pradesh,2019,1,west godavari,523372,0
Andhra Pradesh,2019,1,chittoor,812314,0
Andhra Pradesh,2019,2,east godavari,945181,7156762
Andhra Pradesh,2019,2,srikakulam,392764,3230330
Andhra Pradesh,2019,2,visakhapatnam,1318740,13681907
Andhra Pradesh,2019,2,prakasam,539462,4488365
Andhra Pradesh,2019,2,anantapur,695114,6056591
Andhra Pradesh,2019,2,kurnool,680118,6240480
Andhra Pradesh,2019,2,guntur,915256,7268875
Andhra Pradesh,2019,2,krishna,952300,7822632
Andhra Pradesh,2019,2,spsr nellore,558303,4774473
Andhra Pradesh,2019,2,vizianagaram,355058,3541678
Andhra Pradesh,2019,2,ysr,519031,4345848
Andhra Pradesh,2019,2,west godavari,592185,3853094
Andhra Pradesh,2019,2,chittoor,925491,8914216
Andhra Pradesh,2019,3,east godavari,1057167,28275322
Andhra Pradesh,2019,3,srikakulam,437939,11813195
Andhra Pradesh,2019,3,visakhapatnam,1460464,54836001
Andhra Pradesh,2019,3,prakasam,598568,16267041
Andhra Pradesh,2019,3,anantapur,773656,22845084
Andhra Pradesh,2019,3,kurnool,755024,22827473
Andhra Pradesh,2019,3,guntur,1026418,28477132
Andhra Pradesh,2019,3,krishna,1066546,30077671
Andhra Pradesh,2019,3,spsr nellore,619592,17768733
Andhra Pradesh,2019,3,vizianagaram,394375,13065845
Andhra Pradesh,2019,3,ysr,574109,15833900
Andhra Pradesh,2019,3,west godavari,662102,14227407
Andhra Pradesh,2019,3,chittoor,1032733,34638738
Andhra Pradesh,2019,4,east godavari,1195228,38299189
Andhra Pradesh,2019,4,srikakulam,496266,16353822
Andhra Pradesh,2019,4,visakhapatnam,1620235,70749983
Andhra Pradesh,2019,4,prakasam,673522,21639748
Andhra Pradesh,2019,4,anantapur,873033,30278539
Andhra Pradesh,2019,4,kurnool,846885,29676997
Andhra Pradesh,2019,4,guntur,1158708,37846179
Andhra Pradesh,2019,4,krishna,1199971,39407473
Andhra Pradesh,2019,4,spsr nellore,697154,23608360
Andhra Pradesh,2019,4,vizianagaram,443810,17515311
Andhra Pradesh,2019,4,ysr,646642,21543798
Andhra Pradesh,2019,4,west godavari,750078,19393528
Andhra Pradesh,2019,4,chittoor,1156351,44888591
Andhra Pradesh,2020,1,east godavari,1329664,46142746
Andhra Pradesh,2020,1,srikakulam,552007,20975989
Andhra Pradesh,2020,1,visakhapatnam,1763581,77558624
Andhra Pradesh,2020,1,prakasam,748655,26870693
Andhra Pradesh,2020,1,anantapur,971850,36900103
Andhra Pradesh,2020,1,kurnool,936293,34198350
Andhra Pradesh,2020,1,guntur,1289678,45282758
Andhra Pradesh,2020,1,krishna,1331602,46079408
Andhra Pradesh,2020,1,spsr nellore,775440,28879364
Andhra Pradesh,2020,1,vizianagaram,490683,21562104
Andhra Pradesh,2020,1,ysr,717865,26166193
Andhra Pradesh,2020,1,west godavari,843835,24542868
Andhra Pradesh,2020,1,chittoor,1270907,51354573
Andhra Pradesh,2020,2,east godavari,1459116,45884498
Andhra Pradesh,2020,2,srikakulam,608002,23808009
Andhra Pradesh,2020,2,visakhapatnam,1904719,69684456
Andhra Pradesh,2020,2,prakasam,830709,32255276
Andhra Pradesh,2020,2,anantapur,1076953,39704703
Andhra Pradesh,2020,2,kurnool,1035093,36268390
Andhra Pradesh,2020,2,guntur,1426271,44267596
Andhra Pradesh,2020,2,krishna,1459041,41234166
Andhra Pradesh,2020,2,spsr nellore,854459,30816403
Andhra Pradesh,2020,2,vizianagaram,537798,24370380
Andhra Pradesh,2020,2,ysr,796769,29644037
Andhra Pradesh,2020,2,west godavari,944829,26583613
Andhra Pradesh,2020,2,chittoor,1385916,49820171
Andhra Pradesh,2020,3,east godavari,1601940,64292857
Andhra Pradesh,2020,3,srikakulam,667858,31794753
Andhra Pradesh,2020,3,visakhapatnam,2058346,102589371
Andhra Pradesh,2020,3,prakasam,915240,44970519
Andhra Pradesh,2020,3,anantapur,1186851,55714787
Andhra Pradesh,2020,3,kurnool,1132240,49164718
Andhra Pradesh,2020,3,guntur,1567595,62427501
Andhra Pradesh,2020,3,krishna,1599289,61028114
Andhra Pradesh,2020,3,spsr nellore,937176,43951448
Andhra Pradesh,2020,3,vizianagaram,587784,31199437
Andhra Pradesh,2020,3,ysr,877909,41578067
Andhra Pradesh,2020,3,west godavari,1053674,38126238
Andhra Pradesh,2020,3,chittoor,1506503,69462572
Andhra Pradesh,2020,4,east godavari,1746280,82605352
Andhra Pradesh,2020,4,srikakulam,726761,36770992
Andhra Pradesh,2020,4,visakhapatnam,2209658,124730170
Andhra Pradesh,2020,4,prakasam,999462,52839846
Andhra Pradesh,2020,4,anantapur,1295872,69562398
Andhra Pradesh,2020,4,kurnool,1230466,60615045
Andhra Pradesh,2020,4,guntur,1712940,81291172
Andhra Pradesh,2020,4,krishna,1744028,81787771
Andhra Pradesh,2020,4,spsr nellore,1022944,54765443
Andhra Pradesh,2020,4,vizianagaram,634462,35110885
Andhra Pradesh,2020,4,ysr,959182,49596303
Andhra Pradesh,2020,4,west godavari,1163179,51170162
Andhra Pradesh,2020,4,chittoor,1631331,88232999
Andhra Pradesh,2021,1,east godavari,1878769,91478749
Andhra Pradesh,2021,1,srikakulam,782604,40590058
Andhra Pradesh,2021,1,visakhapatnam,2368081,135908324
Andhra Pradesh,2021,1,prakasam,1075936,56911479
Andhra Pradesh,2021,1,anantapur,1394849,73375049
Andhra Pradesh,2021,1,kurnool,1323411,65326230
Andhra Pradesh,2021,1,guntur,1843237,92731167
Andhra Pradesh,2021,1,krishna,1876458,92941553
Andhra Pradesh,2021,1,spsr nellore,1100541,60691988
Andhra Pradesh,2021,1,vizianagaram,681621,37752539
Andhra Pradesh,2021,1,ysr,1032689,53525815
Andhra Pradesh,2021,1,west godavari,1254117,57392671
Andhra Pradesh,2021,1,chittoor,1751420,99083825
Andhra Pradesh,2021,2,east godavari,2006272,84705076
Andhra Pradesh,2021,2,srikakulam,837958,43740255
Andhra Pradesh,2021,2,visakhapatnam,2526830,114313154
Andhra Pradesh,2021,2,prakasam,1151232,76850749
Andhra Pradesh,2021,2,anantapur,1492738,104568606
Andhra Pradesh,2021,2,kurnool,1415585,81894678
Andhra Pradesh,2021,2,guntur,1968681,88248064
Andhra Pradesh,2021,2,krishna,2002662,85771678
Andhra Pradesh,2021,2,spsr nellore,1176334,74049216
Andhra Pradesh,2021,2,vizianagaram,729509,42684475
Andhra Pradesh,2021,2,ysr,1103004,72255265
Andhra Pradesh,2021,2,west godavari,1339377,65118788
Andhra Pradesh,2021,2,chittoor,1870723,110505432
Andhra Pradesh,2021,3,east godavari,2150622,103626560
Andhra Pradesh,2021,3,srikakulam,902008,48622126
Andhra Pradesh,2021,3,visakhapatnam,2707931,139540800
Andhra Pradesh,2021,3,prakasam,1239147,91533813
Andhra Pradesh,2021,3,anantapur,1606735,124985545
Andhra Pradesh,2021,3,kurnool,1522196,101210508
Andhra Pradesh,2021,3,guntur,2110878,106621413
Andhra Pradesh,2021,3,krishna,2145423,104358295
Andhra Pradesh,2021,3,spsr nellore,1263550,90102349
Andhra Pradesh,2021,3,vizianagaram,784444,46277311
Andhra Pradesh,2021,3,ysr,1183377,86369956
Andhra Pradesh,2021,3,west godavari,1436576,80244808
Andhra Pradesh,2021,3,chittoor,2007011,135043395
Andhra Pradesh,2021,4,east godavari,2294347,142536856
Andhra Pradesh,2021,4,srikakulam,965335,61654215
Andhra Pradesh,2021,4,visakhapatnam,2888774,188757640
Andhra Pradesh,2021,4,prakasam,1325728,86410317
Andhra Pradesh,2021,4,anantapur,1719437,120768682
Andhra Pradesh,2021,4,kurnool,1628242,97379271
Andhra Pradesh,2021,4,guntur,2252443,130920743
Andhra Pradesh,2021,4,krishna,2288148,134436469
Andhra Pradesh,2021,4,spsr nellore,1349290,90814672
Andhra Pradesh,2021,4,vizianagaram,839606,56101822
Andhra Pradesh,2021,4,ysr,1262963,83534122
Andhra Pradesh,2021,4,west godavari,1532898,100007280
Andhra Pradesh,2021,4,chittoor,2141818,154395512
Andhra Pradesh,2022,1,east godavari,2432305,87134562
Andhra Pradesh,2022,1,srikakulam,1027283,46691467
Andhra Pradesh,2022,1,visakhapatnam,3061324,88803090
Andhra Pradesh,2022,1,prakasam,1408929,104851997
Andhra Pradesh,2022,1,anantapur,1827094,155792533
Andhra Pradesh,2022,1,kurnool,1729513,119653214
Andhra Pradesh,2022,1,guntur,2387051,88844052
Andhra Pradesh,2022,1,krishna,2423373,85871644
Andhra Pradesh,2022,1,spsr nellore,1431664,101671767
Andhra Pradesh,2022,1,vizianagaram,892889,44804002
Andhra Pradesh,2022,1,ysr,1339782,98878499
Andhra Pradesh,2022,1,west godavari,1626039,87642475
Andhra Pradesh,2022,1,chittoor,2270705,144146671
Andhra Pradesh,2022,2,east godavari,2564165,93383888
Andhra Pradesh,2022,2,srikakulam,1086164,51087942
Andhra Pradesh,2022,2,visakhapatnam,3226029,93552701
Andhra Pradesh,2022,2,prakasam,1487589,108172758
Andhra Pradesh,2022,2,anantapur,1928213,181499094
Andhra Pradesh,2022,2,kurnool,1825280,136447455
Andhra Pradesh,2022,2,guntur,2514794,91997209
Andhra Pradesh,2022,2,krishna,2552107,95341487
Andhra Pradesh,2022,2,spsr nellore,1509927,108755384
Andhra Pradesh,2022,2,vizianagaram,943242,50230853
Andhra Pradesh,2022,2,ysr,1412848,106157470
Andhra Pradesh,2022,2,west godavari,1714357,103338893
Andhra Pradesh,2022,2,chittoor,2392549,158771722
Andhra Pradesh,2022,3,east godavari,2702234,85780890
Andhra Pradesh,2022,3,srikakulam,1147016,46323107
Andhra Pradesh,2022,3,visakhapatnam,3397514,87888969
Andhra Pradesh,2022,3,prakasam,1567520,114185009
Andhra Pradesh,2022,3,anantapur,2030824,181038520
Andhra Pradesh,2022,3,kurnool,1924127,143715547
Andhra Pradesh,2022,3,guntur,2647100,91146114
Andhra Pradesh,2022,3,krishna,2685215,86220959
Andhra Pradesh,2022,3,spsr nellore,1588875,105928407
Andhra Pradesh,2022,3,vizianagaram,995141,46767889
Andhra Pradesh,2022,3,ysr,1487140,107976611
Andhra Pradesh,2022,3,west godavari,1805967,97509407
Andhra Pradesh,2022,3,chittoor,2517657,162524274
Andhra Pradesh,2022,4,east godavari,2835087,173720880
Andhra Pradesh,2022,4,srikakulam,1204785,72666058
Andhra Pradesh,2022,4,visakhapatnam,3566854,208604256
Andhra Pradesh,2022,4,prakasam,1642503,94432083
Andhra Pradesh,2022,4,anantapur,2128066,136685634
Andhra Pradesh,2022,4,kurnool,2018290,105333688
Andhra Pradesh,2022,4,guntur,2774365,144773169
Andhra Pradesh,2022,4,krishna,2813645,156902257
Andhra Pradesh,2022,4,spsr nellore,1663684,103101986
Andhra Pradesh,2022,4,vizianagaram,1044490,64406405
Andhra Pradesh,2022,4,ysr,1556901,93975668
Andhra Pradesh,2022,4,west godavari,1893310,129116752
Andhra Pradesh,2022,4,chittoor,2636036,189655966
Andhra Pradesh,2023,1,east godavari,2965296,98931582
Andhra Pradesh,2023,1,srikakulam,1263204,48743038
Andhra Pradesh,2023,1,visakhapatnam,3732544,107253885
Andhra Pradesh,2023,1,prakasam,1719910,112502189
Andhra Pradesh,2023,1,anantapur,2228505,177793392
Andhra Pradesh,2023,1,kurnool,2114023,149581663
Andhra Pradesh,2023,1,guntur,2900895,103514892
Andhra Pradesh,2023,1,krishna,2941585,98727644
Andhra Pradesh,2023,1,spsr nellore,1740294,111993275
Andhra Pradesh,2023,1,vizianagaram,1094782,55519223
Andhra Pradesh,2023,1,ysr,1628595,109842928
Andhra Pradesh,2023,1,west godavari,1980446,102965151
Andhra Pradesh,2023,1,chittoor,2755784,164669558
Andhra Pradesh,2023,2,east godavari,3082893,101375784
Andhra Pradesh,2023,2,srikakulam,1317771,48040159
Andhra Pradesh,2023,2,visakhapatnam,3877504,115516314
Andhra Pradesh,2023,2,prakasam,1792637,104288559
Andhra Pradesh,2023,2,anantapur,2323796,164437247
Andhra Pradesh,2023,2,kurnool,2202517,142843895
Andhra Pradesh,2023,2,guntur,3014655,97915941
Andhra Pradesh,2023,2,krishna,3054956,99723659
Andhra Pradesh,2023,2,spsr nellore,1811781,113350865
Andhra Pradesh,2023,2,vizianagaram,1141578,55405616
Andhra Pradesh,2023,2,ysr,1694843,98586928
Andhra Pradesh,2023,2,west godavari,2059880,116005083
Andhra Pradesh,2023,2,chittoor,2865250,170462384
Andhra Pradesh,2023,3,east godavari,3211557,83823834
Andhra Pradesh,2023,3,srikakulam,1375950,44064462
Andhra Pradesh,2023,3,visakhapatnam,4035323,116087299
Andhra Pradesh,2023,3,prakasam,1868997,94303883
Andhra Pradesh,2023,3,anantapur,2421293,152875757
Andhra Pradesh,2023,3,kurnool,2295754,124493256
Andhra Pradesh,2023,3,guntur,3137289,71855007
Andhra Pradesh,2023,3,krishna,3177643,73280755
Andhra Pradesh,2023,3,spsr nellore,1887005,73583227
Andhra Pradesh,2023,3,vizianagaram,1190571,41978556
Andhra Pradesh,2023,3,ysr,1764648,78787151
Andhra Pradesh,2023,3,west godavari,2146530,73274852
Andhra Pradesh,2023,3,chittoor,2981337,129032458
Andhra Pradesh,2023,4,east godavari,3329036,143550882
Andhra Pradesh,2023,4,srikakulam,1430226,48122562
Andhra Pradesh,2023,4,visakhapatnam,4180797,163404880
Andhra Pradesh,2023,4,prakasam,1939979,69411660
Andhra Pradesh,2023,4,anantapur,2512744,123617506
Andhra Pradesh,2023,4,kurnool,2383042,86461750
Andhra Pradesh,2023,4,guntur,3251121,132403935
Andhra Pradesh,2023,4,krishna,3291814,121925706
Andhra Pradesh,2023,4,spsr nellore,1956706,78993397
Andhra Pradesh,2023,4,vizianagaram,1236735,42889385
Andhra Pradesh,2023,4,ysr,1829864,69721701
Andhra Pradesh,2023,4,west godavari,2227243,86297777
Andhra Pradesh,2023,4,chittoor,3089391,143201818
Arunachal Pradesh,2018,1,lower subansiri,498,0
Arunachal Pradesh,2018,1,tirap,557,0
Arunachal Pradesh,2018,1,papum pare,7649,0
Arunachal Pradesh,2018,1,anjaw,278,0
Arunachal Pradesh,2018,1,lower siang,270,0
Arunachal Pradesh,2018,1,dibang valley,66,0
Arunachal Pradesh,2018,1,west kameng,2202,0
Arunachal Pradesh,2018,1,shi yomi,49,0
Arunachal Pradesh,2018,1,east kameng,222,0
Arunachal Pradesh,2018,1,lohit,1207,0
Arunachal Pradesh,2018,1,lepa rada,210,0
Arunachal Pradesh,2018,1,lower dibang valley,601,0
Arunachal Pradesh,2018,1,longding,256,0
Arunachal Pradesh,2018,1,west siang,846,0
Arunachal Pradesh,2018,1,kamle,22,0
Arunachal Pradesh,2018,1,upper siang,301,0
Arunachal Pradesh,2018,1,kurung kumey,97,0
Arunachal Pradesh,2018,1,siang,192,0
Arunachal Pradesh,2018,1,kra daadi,88,0
Arunachal Pradesh,2018,1,changlang,1208,0
Arunachal Pradesh,2018,1,pakke kessang,39,0
Arunachal Pradesh,2018,1,east siang,1803,0
Arunachal Pradesh,2018,1,upper subansiri,572,0
Arunachal Pradesh,2018,1,tawang,1525,0
Arunachal Pradesh,2018,1,namsai,737,0
Arunachal Pradesh,2018,2,lower subansiri,724,0
Arunachal Pradesh,2018,2,tirap,856,0
Arunachal Pradesh,2018,2,papum pare,11418,0
Arunachal Pradesh,2018,2,anjaw,410,0
Arunachal Pradesh,2018,2,lower siang,494,0
Arunachal Pradesh,2018,2,dibang valley,112,0
Arunachal Pradesh,2018,2,west kameng,3442,0
Arunachal Pradesh,2018,2,shi yomi,80,0
Arunachal Pradesh,2018,2,east kameng,343,0
Arunachal Pradesh,2018,2,lohit,1898,0
Arunachal Pradesh,2018,2,lepa rada,318,0
Arunachal Pradesh,2018,2,lower dibang valley,893,0
Arunachal Pradesh,2018,2,longding,412,0
Arunachal Pradesh,2018,2,west siang,1224,0
Arunachal Pradesh,2018,2,kamle,37,0
Arunachal Pradesh,2018,2,upper siang,481,0
Arunachal Pradesh,2018,2,kurung kumey,153,0
Arunachal Pradesh,2018,2,siang,293,0
Arunachal Pradesh,2018,2,kra daadi,144,0
Arunachal Pradesh,2018,2,changlang,2014,0
Arunachal Pradesh,2018,2,pakke kessang,66,0
Arunachal Pradesh,2018,2,east siang,2646,0
Arunachal Pradesh,2018,2,upper subansiri,883,0
Arunachal Pradesh,2018,2,tawang,2266,0
Arunachal Pradesh,2018,2,namsai,1276,0
Arunachal Pradesh,2018,3,lower subansiri,1033,0
Arunachal Pradesh,2018,3,tirap,1226,0
Arunachal Pradesh,2018,3,papum pare,16009,0
Arunachal Pradesh,2018,3,anjaw,542,0
Arunachal Pradesh,2018,3,lower siang,717,0
Arunachal Pradesh,2018,3,dibang valley,145,0
Arunachal Pradesh,2018,3,west kameng,4765,0
