State,Year,Quarter,District,Registered_user,App_opens
Himachal Pradesh,2019,4,bilaspur,48453,526420
Himachal Pradesh,2019,4,hamirpur,66179,790412
Himachal Pradesh,2019,4,una,61055,759757
Himachal Pradesh,2019,4,kangra,181133,2063046
Himachal Pradesh,2019,4,kullu,66640,881862
Himachal Pradesh,2019,4,mandi,111017,1150109
Himachal Pradesh,2019,4,lahul and spiti,1938,20274
Himachal Pradesh,2019,4,chamba,43715,501894
Himachal Pradesh,2019,4,kinnaur,12310,190765
Himachal Pradesh,2020,1,solan,220293,3472122
Himachal Pradesh,2020,1,sirmaur,77972,1116073
Himachal Pradesh,2020,1,shimla,139890,1827107
Himachal Pradesh,2020,1,bilaspur,54024,644156
Himachal Pradesh,2020,1,hamirpur,73945,946744
Himachal Pradesh,2020,1,una,68564,909036
Himachal Pradesh,2020,1,kangra,205367,2464280
Himachal Pradesh,2020,1,kullu,74668,1006068
Himachal Pradesh,2020,1,mandi,124971,1412270
Himachal Pradesh,2020,1,lahul and spiti,2252,27781
Himachal Pradesh,2020,1,chamba,50169,600979
Himachal Pradesh,2020,1,kinnaur,13910,213488
Himachal Pradesh,2020,2,solan,243732,3305076
Himachal Pradesh,2020,2,sirmaur,88117,1211673
Himachal Pradesh,2020,2,shimla,156539,1806819
Himachal Pradesh,2020,2,bilaspur,61050,783049
Himachal Pradesh,2020,2,hamirpur,84216,1096242
Himachal Pradesh,2020,2,una,78363,1074892
Himachal Pradesh,2020,2,kangra,235773,3205540
Himachal Pradesh,2020,2,kullu,82616,803031
Himachal Pradesh,2020,2,mandi,142668,1719858
Himachal Pradesh,2020,2,lahul and spiti,2608,53176
Himachal Pradesh,2020,2,chamba,58362,787826
Himachal Pradesh,2020,2,kinnaur,15823,278398
Himachal Pradesh,2020,3,solan,265701,3875019
Himachal Pradesh,2020,3,sirmaur,97464,1390310
Himachal Pradesh,2020,3,shimla,172418,2337051
Himachal Pradesh,2020,3,bilaspur,67233,833764
Himachal Pradesh,2020,3,hamirpur,93465,1201125
Himachal Pradesh,2020,3,una,86177,1178220
Himachal Pradesh,2020,3,kangra,261293,3450088
Himachal Pradesh,2020,3,kullu,90699,979226
Himachal Pradesh,2020,3,mandi,158237,1859694
Himachal Pradesh,2020,3,lahul and spiti,3008,91931
Himachal Pradesh,2020,3,chamba,65214,893371
Himachal Pradesh,2020,3,kinnaur,17725,321951
Himachal Pradesh,2020,4,solan,289889,4778612
Himachal Pradesh,2020,4,sirmaur,107144,1642256
Himachal Pradesh,2020,4,shimla,189005,2785060
Himachal Pradesh,2020,4,bilaspur,73296,967514
Himachal Pradesh,2020,4,hamirpur,101825,1366513
Himachal Pradesh,2020,4,una,93778,1337623
Himachal Pradesh,2020,4,kangra,285210,3971323
Himachal Pradesh,2020,4,kullu,99814,1487242
Himachal Pradesh,2020,4,mandi,173403,2152427
Himachal Pradesh,2020,4,lahul and spiti,3611,93784
Himachal Pradesh,2020,4,chamba,72124,1050260
Himachal Pradesh,2020,4,kinnaur,19667,368534
Himachal Pradesh,2021,1,solan,312360,5433072
Himachal Pradesh,2021,1,sirmaur,115705,1873784
Himachal Pradesh,2021,1,shimla,202911,2980576
Himachal Pradesh,2021,1,bilaspur,78663,1051062
Himachal Pradesh,2021,1,hamirpur,109372,1412578
Himachal Pradesh,2021,1,una,100832,1406676
Himachal Pradesh,2021,1,kangra,306531,4233701
Himachal Pradesh,2021,1,kullu,107536,1960270
Himachal Pradesh,2021,1,mandi,186340,2344384
Himachal Pradesh,2021,1,lahul and spiti,3938,81725
Himachal Pradesh,2021,1,chamba,77599,1111619
Himachal Pradesh,2021,1,kinnaur,21164,338647
Himachal Pradesh,2021,2,solan,334716,5499854
Himachal Pradesh,2021,2,sirmaur,124764,3957169
Himachal Pradesh,2021,2,shimla,218068,5611146
Himachal Pradesh,2021,2,bilaspur,84508,1858165
Himachal Pradesh,2021,2,hamirpur,117381,2034049
Himachal Pradesh,2021,2,una,108338,2188195
Himachal Pradesh,2021,2,kangra,329232,7137976
Himachal Pradesh,2021,2,kullu,115278,3231422
Himachal Pradesh,2021,2,mandi,200277,5696942
Himachal Pradesh,2021,2,lahul and spiti,4254,937278
Himachal Pradesh,2021,2,chamba,83542,3802308
Himachal Pradesh,2021,2,kinnaur,22793,1315473
Himachal Pradesh,2021,3,solan,360324,6782274
Himachal Pradesh,2021,3,sirmaur,134870,4656571
Himachal Pradesh,2021,3,shimla,235163,7467127
Himachal Pradesh,2021,3,bilaspur,91291,2173844
Himachal Pradesh,2021,3,hamirpur,126753,2131942
Himachal Pradesh,2021,3,una,116973,2561006
Himachal Pradesh,2021,3,kangra,355274,8202082
Himachal Pradesh,2021,3,kullu,124078,4400259
Himachal Pradesh,2021,3,mandi,216188,6281857
Himachal Pradesh,2021,3,lahul and spiti,4660,1936498
Himachal Pradesh,2021,3,chamba,90344,4430504
Himachal Pradesh,2021,3,kinnaur,24708,1946324
Himachal Pradesh,2021,4,solan,385901,10347236
Himachal Pradesh,2021,4,sirmaur,144716,3750604
Himachal Pradesh,2021,4,shimla,251745,5770212
Himachal Pradesh,2021,4,bilaspur,97687,2031090
Himachal Pradesh,2021,4,hamirpur,135670,2858483
Himachal Pradesh,2021,4,una,125192,2739101
Himachal Pradesh,2021,4,kangra,380492,8495356
Himachal Pradesh,2021,4,kullu,132702,3731636
Himachal Pradesh,2021,4,mandi,231360,4546592
Himachal Pradesh,2021,4,lahul and spiti,5052,249743
Himachal Pradesh,2021,4,chamba,96745,2375444
Himachal Pradesh,2021,4,kinnaur,26485,775485
Himachal Pradesh,2022,1,solan,410487,6710908
Himachal Pradesh,2022,1,sirmaur,154267,8561040
Himachal Pradesh,2022,1,shimla,267642,10998338
Himachal Pradesh,2022,1,bilaspur,104121,3566950
Himachal Pradesh,2022,1,hamirpur,144434,2665125
Himachal Pradesh,2022,1,una,133249,3601757
Himachal Pradesh,2022,1,kangra,405048,11350217
Himachal Pradesh,2022,1,kullu,141024,5488435
Himachal Pradesh,2022,1,mandi,246307,11736477
Himachal Pradesh,2022,1,lahul and spiti,5365,2063470
Himachal Pradesh,2022,1,chamba,103270,8403790
Himachal Pradesh,2022,1,kinnaur,28269,2131771
Himachal Pradesh,2022,2,solan,433753,8005883
Himachal Pradesh,2022,2,sirmaur,163150,10410971
Himachal Pradesh,2022,2,shimla,282560,15220633
Himachal Pradesh,2022,2,bilaspur,110019,3821007
Himachal Pradesh,2022,2,hamirpur,152759,2741162
Himachal Pradesh,2022,2,una,140791,4520371
Himachal Pradesh,2022,2,kangra,427676,12879439
Himachal Pradesh,2022,2,kullu,148844,8795678
Himachal Pradesh,2022,2,mandi,260233,14679342
Himachal Pradesh,2022,2,lahul and spiti,5657,5388918
Himachal Pradesh,2022,2,chamba,109087,11682316
Himachal Pradesh,2022,2,kinnaur,29878,4342963
Himachal Pradesh,2022,3,solan,457393,7853464
Himachal Pradesh,2022,3,sirmaur,171743,10533368
Himachal Pradesh,2022,3,shimla,296508,18196762
Himachal Pradesh,2022,3,bilaspur,115654,4243040
Himachal Pradesh,2022,3,hamirpur,160759,2525896
Himachal Pradesh,2022,3,una,148148,4530064
Himachal Pradesh,2022,3,kangra,449619,13333733
Himachal Pradesh,2022,3,kullu,156387,7890814
Himachal Pradesh,2022,3,mandi,273475,14505602
Himachal Pradesh,2022,3,lahul and spiti,5900,6561136
Himachal Pradesh,2022,3,chamba,114576,13232974
Himachal Pradesh,2022,3,kinnaur,31414,5425685
Himachal Pradesh,2022,4,solan,479537,16598977
Himachal Pradesh,2022,4,sirmaur,179223,6294935
Himachal Pradesh,2022,4,shimla,308448,8326396
Himachal Pradesh,2022,4,bilaspur,120345,3117058
Himachal Pradesh,2022,4,hamirpur,167686,4039475
Himachal Pradesh,2022,4,una,154314,4061386
Himachal Pradesh,2022,4,kangra,468410,12232859
Himachal Pradesh,2022,4,kullu,162922,5183193
Himachal Pradesh,2022,4,mandi,284425,6917169
Himachal Pradesh,2022,4,lahul and spiti,6057,474863
Himachal Pradesh,2022,4,chamba,118985,4081657
Himachal Pradesh,2022,4,kinnaur,32724,1027749
Himachal Pradesh,2023,1,solan,501947,8637440
Himachal Pradesh,2023,1,sirmaur,187417,12835687
Himachal Pradesh,2023,1,shimla,322036,15709663
Himachal Pradesh,2023,1,bilaspur,125771,5267131
Himachal Pradesh,2023,1,hamirpur,175074,2741291
Himachal Pradesh,2023,1,una,161122,5288709
Himachal Pradesh,2023,1,kangra,489369,15233885
Himachal Pradesh,2023,1,kullu,170048,8940251
Himachal Pradesh,2023,1,mandi,296936,15192226
Himachal Pradesh,2023,1,lahul and spiti,6298,2019145
Himachal Pradesh,2023,1,chamba,124457,17455360
Himachal Pradesh,2023,1,kinnaur,34193,2381256
Himachal Pradesh,2023,2,solan,523060,10807448
Himachal Pradesh,2023,2,sirmaur,195687,16162360
Himachal Pradesh,2023,2,shimla,335735,19477246
Himachal Pradesh,2023,2,bilaspur,131239,5385585
Himachal Pradesh,2023,2,hamirpur,182553,3589504
Himachal Pradesh,2023,2,una,168253,5185467
Himachal Pradesh,2023,2,kangra,510261,16770123
Himachal Pradesh,2023,2,kullu,177077,9779657
Himachal Pradesh,2023,2,mandi,310048,15902310
Himachal Pradesh,2023,2,lahul and spiti,6669,8801435
Himachal Pradesh,2023,2,chamba,130138,20483795
Himachal Pradesh,2023,2,kinnaur,35750,4429845
Himachal Pradesh,2023,3,solan,544140,15515029
Himachal Pradesh,2023,3,sirmaur,203991,20738993
Himachal Pradesh,2023,3,shimla,348966,34527328
Himachal Pradesh,2023,3,bilaspur,136648,7854641
Himachal Pradesh,2023,3,hamirpur,189913,4306827
Himachal Pradesh,2023,3,una,175125,6997750
Himachal Pradesh,2023,3,kangra,530786,21202374
Himachal Pradesh,2023,3,kullu,184280,14695988
Himachal Pradesh,2023,3,mandi,322502,21231120
Himachal Pradesh,2023,3,lahul and spiti,6980,7183767
Himachal Pradesh,2023,3,chamba,135482,29709982
Himachal Pradesh,2023,3,kinnaur,37233,5343978
Himachal Pradesh,2023,4,solan,565485,32407288
Himachal Pradesh,2023,4,sirmaur,212088,12326132
Himachal Pradesh,2023,4,shimla,362109,20830595
Himachal Pradesh,2023,4,bilaspur,141779,6911776
Himachal Pradesh,2023,4,hamirpur,197499,9176614
Himachal Pradesh,2023,4,una,181977,9900726
Himachal Pradesh,2023,4,kangra,551176,34871733
Himachal Pradesh,2023,4,kullu,191029,10674145
Himachal Pradesh,2023,4,mandi,335088,17026983
Himachal Pradesh,2023,4,lahul and spiti,7231,739710
Himachal Pradesh,2023,4,chamba,140790,6861147
Himachal Pradesh,2023,4,kinnaur,38701,1967624
Jammu & Kashmir,2018,1,muzaffarabad,41,0
Jammu & Kashmir,2018,1,doda,2648,0
Jammu & Kashmir,2018,1,samba,6534,0
Jammu & Kashmir,2018,1,mirpur,544,0
Jammu & Kashmir,2018,1,srinagar,18233,0
Jammu & Kashmir,2018,1,baramulla,16299,0
Jammu & Kashmir,2018,1,jammu,45294,0
Jammu & Kashmir,2018,1,ganderbal,4117,0
Jammu & Kashmir,2018,1,udhampur,8457,0
Jammu & Kashmir,2018,1,bandipore,4609,0
Jammu & Kashmir,2018,1,reasi,3583,0
Jammu & Kashmir,2018,1,shopian,2537,0
Jammu & Kashmir,2018,1,poonch,2539,0
Jammu & Kashmir,2018,1,kathua,8039,0
Jammu & Kashmir,2018,1,kishtwar,1298,0
Jammu & Kashmir,2018,1,pulwama,8441,0
Jammu & Kashmir,2018,1,ramban,1876,0
Jammu & Kashmir,2018,1,rajouri,5232,0
Jammu & Kashmir,2018,1,kulgam,5700,0
Jammu & Kashmir,2018,1,budgam,11594,0
Jammu & Kashmir,2018,1,anantnag,11556,0
Jammu & Kashmir,2018,1,kupwara,7254,0
Jammu & Kashmir,2018,2,muzaffarabad,57,0
Jammu & Kashmir,2018,2,doda,4031,0
Jammu & Kashmir,2018,2,samba,9601,0
Jammu & Kashmir,2018,2,mirpur,795,0
Jammu & Kashmir,2018,2,srinagar,27035,0
Jammu & Kashmir,2018,2,baramulla,25870,0
Jammu & Kashmir,2018,2,jammu,64681,0
Jammu & Kashmir,2018,2,ganderbal,6212,0
Jammu & Kashmir,2018,2,udhampur,12195,0
Jammu & Kashmir,2018,2,bandipore,7527,0
Jammu & Kashmir,2018,2,reasi,5168,0
Jammu & Kashmir,2018,2,shopian,3522,0
Jammu & Kashmir,2018,2,poonch,4152,0
Jammu & Kashmir,2018,2,kathua,11778,0
Jammu & Kashmir,2018,2,kishtwar,2006,0
Jammu & Kashmir,2018,2,pulwama,12218,0
Jammu & Kashmir,2018,2,ramban,2925,0
Jammu & Kashmir,2018,2,rajouri,8035,0
Jammu & Kashmir,2018,2,kulgam,8137,0
Jammu & Kashmir,2018,2,budgam,17809,0
Jammu & Kashmir,2018,2,anantnag,16373,0
Jammu & Kashmir,2018,2,kupwara,11482,0
Jammu & Kashmir,2018,3,muzaffarabad,89,0
Jammu & Kashmir,2018,3,doda,5618,0
Jammu & Kashmir,2018,3,samba,13304,0
Jammu & Kashmir,2018,3,mirpur,1133,0
Jammu & Kashmir,2018,3,srinagar,35583,0
Jammu & Kashmir,2018,3,baramulla,31069,0
Jammu & Kashmir,2018,3,jammu,86877,0
Jammu & Kashmir,2018,3,ganderbal,7627,0
Jammu & Kashmir,2018,3,udhampur,16058,0
Jammu & Kashmir,2018,3,bandipore,8792,0
Jammu & Kashmir,2018,3,reasi,7010,0
Jammu & Kashmir,2018,3,shopian,4698,0
Jammu & Kashmir,2018,3,poonch,6243,0
Jammu & Kashmir,2018,3,kathua,15849,0
Jammu & Kashmir,2018,3,kishtwar,2822,0
Jammu & Kashmir,2018,3,pulwama,15427,0
Jammu & Kashmir,2018,3,ramban,4202,0
Jammu & Kashmir,2018,3,rajouri,11534,0
Jammu & Kashmir,2018,3,kulgam,10305,0
Jammu & Kashmir,2018,3,budgam,22301,0
Jammu & Kashmir,2018,3,anantnag,20234,0
Jammu & Kashmir,2018,3,kupwara,15754,0
Jammu & Kashmir,2018,4,muzaffarabad,136,0
Jammu & Kashmir,2018,4,doda,7669,0
Jammu & Kashmir,2018,4,samba,17595,0
Jammu & Kashmir,2018,4,mirpur,1515,0
Jammu & Kashmir,2018,4,srinagar,44328,0
Jammu & Kashmir,2018,4,baramulla,37661,0
Jammu & Kashmir,2018,4,jammu,113005,0
Jammu & Kashmir,2018,4,ganderbal,9327,0
Jammu & Kashmir,2018,4,udhampur,21123,0
Jammu & Kashmir,2018,4,bandipore,10397,0
Jammu & Kashmir,2018,4,reasi,9290,0
Jammu & Kashmir,2018,4,shopian,5919,0
Jammu & Kashmir,2018,4,poonch,8555,0
Jammu & Kashmir,2018,4,kathua,21030,0
Jammu & Kashmir,2018,4,kishtwar,3753,0
Jammu & Kashmir,2018,4,pulwama,18846,0
Jammu & Kashmir,2018,4,ramban,5615,0
Jammu & Kashmir,2018,4,rajouri,15661,0
Jammu & Kashmir,2018,4,kulgam,12488,0
Jammu & Kashmir,2018,4,budgam,27710,0
Jammu & Kashmir,2018,4,anantnag,24448,0
Jammu & Kashmir,2018,4,kupwara,20492,0
Jammu & Kashmir,2019,1,muzaffarabad,170,0
Jammu & Kashmir,2019,1,doda,9896,0
Jammu & Kashmir,2019,1,samba,21495,0
Jammu & Kashmir,2019,1,mirpur,1891,0
Jammu & Kashmir,2019,1,srinagar,52762,0
Jammu & Kashmir,2019,1,baramulla,45150,0
Jammu & Kashmir,2019,1,jammu,134408,0
Jammu & Kashmir,2019,1,ganderbal,11236,0
Jammu & Kashmir,2019,1,udhampur,25515,0
Jammu & Kashmir,2019,1,bandipore,12419,0
Jammu & Kashmir,2019,1,reasi,11440,0
Jammu & Kashmir,2019,1,shopian,7625,0
Jammu & Kashmir,2019,1,poonch,10838,0
Jammu & Kashmir,2019,1,kathua,25620,0
Jammu & Kashmir,2019,1,kishtwar,4732,0
Jammu & Kashmir,2019,1,pulwama,23230,0
Jammu & Kashmir,2019,1,ramban,7125,0
Jammu & Kashmir,2019,1,rajouri,19212,0
Jammu & Kashmir,2019,1,kulgam,16003,0
Jammu & Kashmir,2019,1,budgam,34255,0
Jammu & Kashmir,2019,1,anantnag,30103,0
Jammu & Kashmir,2019,1,kupwara,25544,0
Jammu & Kashmir,2019,2,muzaffarabad,216,1171
Jammu & Kashmir,2019,2,doda,12220,53698
Jammu & Kashmir,2019,2,samba,25990,105880
Jammu & Kashmir,2019,2,mirpur,2250,13135
Jammu & Kashmir,2019,2,srinagar,62190,312300
Jammu & Kashmir,2019,2,baramulla,53196,212011
Jammu & Kashmir,2019,2,jammu,160241,581746
Jammu & Kashmir,2019,2,ganderbal,13224,73122
Jammu & Kashmir,2019,2,udhampur,29856,131187
Jammu & Kashmir,2019,2,bandipore,14951,65247
Jammu & Kashmir,2019,2,reasi,13784,72385
Jammu & Kashmir,2019,2,shopian,8946,37320
Jammu & Kashmir,2019,2,poonch,13450,69010
Jammu & Kashmir,2019,2,kathua,30602,122544
Jammu & Kashmir,2019,2,kishtwar,6001,27103
Jammu & Kashmir,2019,2,pulwama,27167,136747
Jammu & Kashmir,2019,2,ramban,8694,48805
Jammu & Kashmir,2019,2,rajouri,23118,103450
Jammu & Kashmir,2019,2,kulgam,18853,71690
Jammu & Kashmir,2019,2,budgam,39965,174075
Jammu & Kashmir,2019,2,anantnag,35488,140564
Jammu & Kashmir,2019,2,kupwara,30791,152183
Jammu & Kashmir,2019,3,muzaffarabad,207,1501
Jammu & Kashmir,2019,3,doda,12682,68944
Jammu & Kashmir,2019,3,samba,27579,160172
Jammu & Kashmir,2019,3,mirpur,2372,18542
Jammu & Kashmir,2019,3,srinagar,64758,386951
Jammu & Kashmir,2019,3,baramulla,54404,249467
Jammu & Kashmir,2019,3,jammu,169849,975045
Jammu & Kashmir,2019,3,ganderbal,13453,109345
Jammu & Kashmir,2019,3,udhampur,31297,204871
Jammu & Kashmir,2019,3,bandipore,15313,80343
Jammu & Kashmir,2019,3,reasi,14489,118236
Jammu & Kashmir,2019,3,shopian,9142,38069
Jammu & Kashmir,2019,3,poonch,14139,94475
Jammu & Kashmir,2019,3,kathua,32213,208424
Jammu & Kashmir,2019,3,kishtwar,6229,38662
Jammu & Kashmir,2019,3,pulwama,27963,176462
Jammu & Kashmir,2019,3,ramban,9065,75108
Jammu & Kashmir,2019,3,rajouri,24275,147846
Jammu & Kashmir,2019,3,kulgam,19220,80917
Jammu & Kashmir,2019,3,budgam,41004,208701
Jammu & Kashmir,2019,3,anantnag,36371,207023
Jammu & Kashmir,2019,3,kupwara,32431,194815
Jammu & Kashmir,2019,4,muzaffarabad,223,31
Jammu & Kashmir,2019,4,doda,13016,14365
Jammu & Kashmir,2019,4,samba,28333,59968
Jammu & Kashmir,2019,4,mirpur,2521,3319
Jammu & Kashmir,2019,4,srinagar,65611,28258
Jammu & Kashmir,2019,4,baramulla,55042,6479
Jammu & Kashmir,2019,4,jammu,174858,486244
Jammu & Kashmir,2019,4,ganderbal,13506,4644
Jammu & Kashmir,2019,4,udhampur,32252,79671
Jammu & Kashmir,2019,4,bandipore,15366,2312
Jammu & Kashmir,2019,4,reasi,15021,61611
Jammu & Kashmir,2019,4,shopian,9308,1093
Jammu & Kashmir,2019,4,poonch,14810,19155
Jammu & Kashmir,2019,4,kathua,33481,128868
Jammu & Kashmir,2019,4,kishtwar,6397,9507
Jammu & Kashmir,2019,4,pulwama,28336,9905
Jammu & Kashmir,2019,4,ramban,9304,14758
Jammu & Kashmir,2019,4,rajouri,25297,42098
Jammu & Kashmir,2019,4,kulgam,19304,1847
Jammu & Kashmir,2019,4,budgam,41377,14190
Jammu & Kashmir,2019,4,anantnag,36725,4724
Jammu & Kashmir,2019,4,kupwara,33279,5525
Jammu & Kashmir,2020,1,muzaffarabad,240,1138
Jammu & Kashmir,2020,1,doda,14537,88134
Jammu & Kashmir,2020,1,samba,31570,209115
Jammu & Kashmir,2020,1,mirpur,2835,23464
Jammu & Kashmir,2020,1,srinagar,70755,383851
Jammu & Kashmir,2020,1,baramulla,59123,288334
Jammu & Kashmir,2020,1,jammu,191031,1199860
Jammu & Kashmir,2020,1,ganderbal,14573,80254
Jammu & Kashmir,2020,1,udhampur,35408,262540
Jammu & Kashmir,2020,1,bandipore,16451,83494
Jammu & Kashmir,2020,1,reasi,16592,136328
Jammu & Kashmir,2020,1,shopian,10313,57817
Jammu & Kashmir,2020,1,poonch,16495,115169
Jammu & Kashmir,2020,1,kathua,37300,272391
Jammu & Kashmir,2020,1,kishtwar,7124,49904
Jammu & Kashmir,2020,1,pulwama,30796,200550
Jammu & Kashmir,2020,1,ramban,10267,83488
Jammu & Kashmir,2020,1,rajouri,28089,187260
Jammu & Kashmir,2020,1,kulgam,21070,96392
Jammu & Kashmir,2020,1,budgam,44636,248728
Jammu & Kashmir,2020,1,anantnag,39513,175619
Jammu & Kashmir,2020,1,kupwara,36690,233064
Jammu & Kashmir,2020,2,muzaffarabad,266,3534
Jammu & Kashmir,2020,2,doda,17896,262998
Jammu & Kashmir,2020,2,samba,37600,470714
Jammu & Kashmir,2020,2,mirpur,3522,72639
Jammu & Kashmir,2020,2,srinagar,78458,825852
Jammu & Kashmir,2020,2,baramulla,66095,677212
Jammu & Kashmir,2020,2,jammu,220805,2351890
Jammu & Kashmir,2020,2,ganderbal,16213,180300
Jammu & Kashmir,2020,2,udhampur,41813,587211
Jammu & Kashmir,2020,2,bandipore,18357,186996
Jammu & Kashmir,2020,2,reasi,19514,228746
Jammu & Kashmir,2020,2,shopian,11870,123790
Jammu & Kashmir,2020,2,poonch,19815,319509
Jammu & Kashmir,2020,2,kathua,44719,562924
Jammu & Kashmir,2020,2,kishtwar,8584,124258
Jammu & Kashmir,2020,2,pulwama,34565,434688
Jammu & Kashmir,2020,2,ramban,12068,183807
Jammu & Kashmir,2020,2,rajouri,33389,494580
Jammu & Kashmir,2020,2,kulgam,23505,216052
Jammu & Kashmir,2020,2,budgam,49962,560896
Jammu & Kashmir,2020,2,anantnag,44423,413847
Jammu & Kashmir,2020,2,kupwara,41855,574210
Jammu & Kashmir,2020,3,muzaffarabad,304,6388
Jammu & Kashmir,2020,3,doda,20833,287357
Jammu & Kashmir,2020,3,samba,42915,522691
Jammu & Kashmir,2020,3,mirpur,4128,70985
Jammu & Kashmir,2020,3,srinagar,87182,1051310
Jammu & Kashmir,2020,3,baramulla,73162,811950
Jammu & Kashmir,2020,3,jammu,248814,2720674
Jammu & Kashmir,2020,3,ganderbal,18259,225894
Jammu & Kashmir,2020,3,udhampur,47399,661207
Jammu & Kashmir,2020,3,bandipore,20153,223661
Jammu & Kashmir,2020,3,reasi,22063,243175
Jammu & Kashmir,2020,3,shopian,13294,160453
Jammu & Kashmir,2020,3,poonch,22704,342181
Jammu & Kashmir,2020,3,kathua,50914,593205
Jammu & Kashmir,2020,3,kishtwar,9745,126649
Jammu & Kashmir,2020,3,pulwama,38434,514441
Jammu & Kashmir,2020,3,ramban,13674,196197
Jammu & Kashmir,2020,3,rajouri,38071,557098
Jammu & Kashmir,2020,3,kulgam,25887,249487
Jammu & Kashmir,2020,3,budgam,55153,667385
Jammu & Kashmir,2020,3,anantnag,49443,501949
Jammu & Kashmir,2020,3,kupwara,47288,709117
Jammu & Kashmir,2020,4,muzaffarabad,339,9273
Jammu & Kashmir,2020,4,doda,24095,352491
Jammu & Kashmir,2020,4,samba,48775,710801
Jammu & Kashmir,2020,4,mirpur,4799,87362
Jammu & Kashmir,2020,4,srinagar,98923,1535006
Jammu & Kashmir,2020,4,baramulla,83119,1261348
Jammu & Kashmir,2020,4,jammu,282463,3834866
Jammu & Kashmir,2020,4,ganderbal,20465,288341
Jammu & Kashmir,2020,4,udhampur,53803,864317
Jammu & Kashmir,2020,4,bandipore,22721,335472
Jammu & Kashmir,2020,4,reasi,25147,358570
Jammu & Kashmir,2020,4,shopian,15234,234965
Jammu & Kashmir,2020,4,poonch,26045,423011
Jammu & Kashmir,2020,4,kathua,57651,817085
Jammu & Kashmir,2020,4,kishtwar,11233,171549
Jammu & Kashmir,2020,4,pulwama,43139,712775
Jammu & Kashmir,2020,4,ramban,15548,266848
Jammu & Kashmir,2020,4,rajouri,43240,690479
Jammu & Kashmir,2020,4,kulgam,29261,375598
Jammu & Kashmir,2020,4,budgam,62364,940572
Jammu & Kashmir,2020,4,anantnag,56211,775396
Jammu & Kashmir,2020,4,kupwara,54447,972626
Jammu & Kashmir,2021,1,muzaffarabad,377,9533
Jammu & Kashmir,2021,1,doda,26460,385972
Jammu & Kashmir,2021,1,samba,53123,846106
Jammu & Kashmir,2021,1,mirpur,5198,91729
Jammu & Kashmir,2021,1,srinagar,107147,1800718
Jammu & Kashmir,2021,1,baramulla,90607,1419562
Jammu & Kashmir,2021,1,jammu,307670,4748576
Jammu & Kashmir,2021,1,ganderbal,22249,307343
Jammu & Kashmir,2021,1,udhampur,58664,1005055
Jammu & Kashmir,2021,1,bandipore,24662,380806
Jammu & Kashmir,2021,1,reasi,27524,560191
Jammu & Kashmir,2021,1,shopian,16657,257342
Jammu & Kashmir,2021,1,poonch,28300,438878
Jammu & Kashmir,2021,1,kathua,62777,999489
Jammu & Kashmir,2021,1,kishtwar,12235,192499
Jammu & Kashmir,2021,1,pulwama,46731,822230
Jammu & Kashmir,2021,1,ramban,16907,314751
Jammu & Kashmir,2021,1,rajouri,47092,761083
Jammu & Kashmir,2021,1,kulgam,31882,413955
Jammu & Kashmir,2021,1,budgam,67920,1094310
Jammu & Kashmir,2021,1,anantnag,61151,943863
Jammu & Kashmir,2021,1,kupwara,59485,1040018
Jammu & Kashmir,2021,2,muzaffarabad,416,140975
Jammu & Kashmir,2021,2,doda,28542,1668531
Jammu & Kashmir,2021,2,samba,57066,1261847
Jammu & Kashmir,2021,2,mirpur,5662,519745
Jammu & Kashmir,2021,2,srinagar,114498,1723018
Jammu & Kashmir,2021,2,baramulla,97258,2275167
Jammu & Kashmir,2021,2,jammu,329625,5307827
Jammu & Kashmir,2021,2,ganderbal,23884,732103
Jammu & Kashmir,2021,2,udhampur,63296,2284672
Jammu & Kashmir,2021,2,bandipore,26435,753955
Jammu & Kashmir,2021,2,reasi,29716,1517492
Jammu & Kashmir,2021,2,shopian,17933,458734
Jammu & Kashmir,2021,2,poonch,30575,1527433
Jammu & Kashmir,2021,2,kathua,67569,2554198
Jammu & Kashmir,2021,2,kishtwar,13206,1464466
Jammu & Kashmir,2021,2,pulwama,50038,1135519
Jammu & Kashmir,2021,2,ramban,18253,999598
Jammu & Kashmir,2021,2,rajouri,50772,2055898
Jammu & Kashmir,2021,2,kulgam,34224,770338
Jammu & Kashmir,2021,2,budgam,72750,1261253
Jammu & Kashmir,2021,2,anantnag,65592,1762005
Jammu & Kashmir,2021,2,kupwara,63957,2099785
Jammu & Kashmir,2021,3,muzaffarabad,454,277152
Jammu & Kashmir,2021,3,doda,30988,2156305
Jammu & Kashmir,2021,3,samba,61677,1647183
Jammu & Kashmir,2021,3,mirpur,6201,741299
Jammu & Kashmir,2021,3,srinagar,122752,2116162
Jammu & Kashmir,2021,3,baramulla,104763,2926151
Jammu & Kashmir,2021,3,jammu,354280,7100607
Jammu & Kashmir,2021,3,ganderbal,25735,1207298
Jammu & Kashmir,2021,3,udhampur,68452,2608312
Jammu & Kashmir,2021,3,bandipore,28469,1139504
Jammu & Kashmir,2021,3,reasi,32275,2111256
Jammu & Kashmir,2021,3,shopian,19343,542538
Jammu & Kashmir,2021,3,poonch,33277,2129714
Jammu & Kashmir,2021,3,kathua,73280,3107994
Jammu & Kashmir,2021,3,kishtwar,14320,1885750
Jammu & Kashmir,2021,3,pulwama,53876,1519762
Jammu & Kashmir,2021,3,ramban,19751,1301613
Jammu & Kashmir,2021,3,rajouri,55013,2580630
